threshold,precision_ml,recall_ml,fpr_ml,workload_pct_ml,precision_h,recall_h,fpr_h,workload_pct_h,flagged_count_h,expected_cost_h
0.342,0.04690431519699812,0.49019607843137253,0.19421434943290428,19.9875,0.019690207403517984,0.9803921568627451,0.9517012871160953,95.22500000000001,7618,0.93725
0.348,0.048701298701298704,0.49019607843137253,0.18669555244042307,19.25,0.019692792437967704,0.9803921568627451,0.9515738498789346,95.2125,7617,0.937125
0.355,0.050511945392491465,0.48366013071895425,0.17726519689053138,18.3125,0.019708316909735908,0.9803921568627451,0.9508092264559703,95.1375,7611,0.936375
0.36,0.0525195173882186,0.48366013071895425,0.17012871160953227,17.6125,0.01972127267946358,0.9803921568627451,0.9501720402701669,95.075,7606,0.93575
0.367,0.0531437125748503,0.46405228758169936,0.1612081050082834,16.7,0.019729054320662895,0.9803921568627451,0.9497897285586847,95.0375,7603,0.935375
0.373,0.054858934169279,0.45751633986928103,0.1536893080158022,15.950000000000001,0.019734245494013945,0.9803921568627451,0.9495348540843633,95.0125,7601,0.935125
0.381,0.057803468208092484,0.45751633986928103,0.1454058876003568,15.137500000000001,0.019752436133789835,0.9803921568627451,0.9486427934242384,94.925,7594,0.9342499999999999
0.387,0.0611353711790393,0.45751633986928103,0.13699502994775073,14.3125,0.019760242392306678,0.9803921568627451,0.9482604817127563,94.8875,7591,0.933875
0.394,0.06487488415199258,0.45751633986928103,0.12858417229514463,13.487499999999999,0.019765449993411517,0.9803921568627451,0.948005607238435,94.86250000000001,7589,0.9336249999999999
0.404,0.06673209028459273,0.4444444444444444,0.12119281253982413,12.737499999999999,0.01977587343441002,0.9803921568627451,0.9474958582897922,94.8125,7585,0.933125
0.413,0.07165437302423604,0.4444444444444444,0.11227220593857525,11.862499999999999,0.01977848101265823,0.9803921568627451,0.9473684210526314,94.8,7584,0.9329999999999999
0.422,0.0768361581920904,0.4444444444444444,0.10411622276029055,11.0625,0.01978891820580475,0.9803921568627451,0.9468586721039887,94.75,7580,0.9325
0.433,0.0827250608272506,0.4444444444444444,0.09608767681916655,10.274999999999999,0.01979936642027455,0.9803921568627451,0.9463489231553459,94.69999999999999,7576,0.932
0.444,0.08839050131926121,0.43790849673202614,0.08805913087804255,9.475,0.019815059445178335,0.9803921568627451,0.9455842997323817,94.625,7570,0.9312499999999999
0.459,0.0968208092485549,0.43790849673202614,0.07964827322543647,8.649999999999999,0.01982815598149372,0.9803921568627451,0.9449471135465782,94.5625,7565,0.930625
0.473,0.10702875399361023,0.43790849673202614,0.07123741557283038,7.825,0.019833399444664817,0.9803921568627451,0.9446922390722569,94.5375,7563,0.9303750000000001
0.489,0.11702127659574468,0.43137254901960786,0.06346374410602777,7.049999999999999,0.019846520243450648,0.9803921568627451,0.9440550528864533,94.475,7558,0.92975
0.509,0.12981744421906694,0.41830065359477125,0.054670574741939586,6.1625,0.019857029388403495,0.9803921568627451,0.9435453039378106,94.425,7554,0.92925
0.523,0.14651162790697675,0.4117647058823529,0.04676946603797629,5.375,0.01985965841387528,0.9803921568627451,0.9434178667006499,94.4125,7553,0.929125
0.545,0.14402173913043478,0.3464052287581699,0.040142729705619974,4.6,0.01986228813559322,0.9803921568627451,0.9432904294634892,94.39999999999999,7552,0.929
0.572,0.15282392026578073,0.3006535947712418,0.03249649547597808,3.7624999999999997,0.01987281399046105,0.9803921568627451,0.9427806805148463,94.35,7548,0.9285
0.603,0.1694915254237288,0.26143790849673204,0.024977698483496874,2.9499999999999997,0.019875447197561943,0.9803921568627451,0.9426532432776856,94.33749999999999,7547,0.928375
0.641,0.17543859649122806,0.19607843137254902,0.017968650439658465,2.1375,0.019883351007423118,0.9803921568627451,0.9422709315662036,94.3,7544,0.928
0.69,0.18095238095238095,0.12418300653594772,0.010959602395820058,1.3125,0.01988598700782182,0.9803921568627451,0.9421434943290429,94.28750000000001,7543,0.927875
0.772,0.275,0.0718954248366013,0.003695679877660252,0.5,0.019891261105954117,0.9803921568627451,0.9418886198547214,94.2625,7541,0.9276249999999999
